post_id	date	num_likes	num_angry	num_shares
96033897836_10158421526307837	2018-09-15T13:00:01+0000	2201	18	1110
96033897836_10158422180742837	2018-09-15T11:00:02+0000	110	5	12
96033897836_10158422106897837	2018-09-15T11:00:02+0000	114	7	11
96033897836_10158422090342837	2018-09-15T11:00:02+0000	103	6	12
96033897836_10158422162517837	2018-09-15T11:00:02+0000	143	6	13
96033897836_10158422097442837	2018-09-15T11:00:02+0000	103	9	9
96033897836_10158422077587837	2018-09-15T11:00:02+0000	96	3	9
96033897836_10158422100927837	2018-09-15T11:00:02+0000	90	4	5
96033897836_10158422175367837	2018-09-15T11:00:02+0000	136	6	18
96033897836_10158422037132837	2018-09-15T11:00:02+0000	98	5	12
96033897836_10158422140732837	2018-09-15T11:00:02+0000	118	5	9
96033897836_10158422047212837	2018-09-15T11:00:02+0000	115	6	11
96033897836_10158422051782837	2018-09-15T11:00:02+0000	133	4	9
96033897836_10158422186447837	2018-09-15T11:00:01+0000	66	3	8
96033897836_10158422062507837	2018-09-15T11:00:01+0000	68	2	5
96033897836_10158422119802837	2018-09-15T11:00:01+0000	57	2	6
96033897836_10158422114562837	2018-09-15T11:00:01+0000	57	3	4
96033897836_278710762949595	2018-09-12T20:52:12+0000	7349	838	5055
96033897836_657694934612453	2018-09-12T17:20:21+0000	1153	6	450
96033897836_281728705760654	2018-09-12T13:05:12+0000	12864	990	4927
96033897836_919774874876481	2018-09-12T00:19:28+0000	1653	17	884
96033897836_447472168992946	2018-09-11T23:50:58+0000	2910	280	716
96033897836_320902312001336	2018-09-11T22:05:48+0000	361	3	233
96033897836_1115037908672833	2018-09-11T21:19:49+0000	23120	3391	9587
96033897836_1265247810284289	2018-09-11T16:01:08+0000	2707	58	998
96033897836_269765390413699	2018-09-11T00:17:51+0000	3328	293	995
96033897836_10158407385987837	2018-09-10T14:16:52+0000	1094	10	246
96033897836_297382650844840	2018-09-10T12:30:00+0000	1558	15	587
96033897836_10158405807442837	2018-09-09T23:46:06+0000	1580	15	532
96033897836_1851996654853921	2018-09-09T23:13:02+0000	694	28	223
96033897836_314837655987724	2018-09-09T23:04:14+0000	1141	10	546
96033897836_2117119338554440	2018-09-09T22:27:10+0000	961	12	429
96033897836_287496288746639	2018-09-09T22:10:32+0000	1071	11	447
96033897836_169065693942760	2018-09-09T21:33:44+0000	1779	11	762
96033897836_1093865804114582	2018-09-08T20:45:54+0000	2127	27	549
96033897836_2212713529012902	2018-09-08T19:19:13+0000	2594	137	894
96033897836_243345883037875	2018-09-08T16:01:47+0000	2183	68	707
96033897836_408168716379596	2018-09-08T15:57:30+0000	261	23	81
96033897836_346480225894040	2018-09-07T23:40:00+0000	4852	225	1244
96033897836_2255748401165304	2018-09-07T20:09:18+0000	2070	133	949
96033897836_1980732081947134	2018-09-07T16:04:27+0000	6125	244	1131
96033897836_1136608363157482	2018-09-06T23:47:06+0000	1583	116	648
96033897836_242326833122344	2018-09-06T22:35:03+0000	1174	85	385
96033897836_327143581179123	2018-09-06T16:04:00+0000	598	71	401
96033897836_10158394149277837	2018-09-06T15:25:31+0000	943	110	119
96033897836_470625913438940	2018-09-05T21:55:48+0000	3552	2030	4486
96033897836_302207667255583	2018-09-05T21:34:48+0000	289	135	133
96033897836_2120514574832342	2018-09-05T20:22:48+0000	1136	65	487
96033897836_294017691390784	2018-09-05T12:00:01+0000	903	244	425
96033897836_2151567581775996	2018-09-04T23:07:30+0000	12722	4636	12213
96033897836_679953489042941	2018-09-03T23:20:00+0000	1134	199	527
96033897836_241758239867290	2018-09-03T15:04:13+0000	2176	75	947
96033897836_527887944329073	2018-09-03T14:01:19+0000	4176	355	718
96033897836_2178937035652740	2018-09-02T21:00:00+0000	1649	49	731
96033897836_2309419532403593	2018-09-02T16:14:07+0000	2265	283	820
96033897836_511959592604652	2018-09-01T23:30:00+0000	1107	369	563
96033897836_292119354918404	2018-09-01T15:02:42+0000	2846	168	1081
96033897836_466022210473352	2018-09-01T14:42:26+0000	1774	61	479
96033897836_254913028494162	2018-08-31T22:00:23+0000	1484	44	441
96033897836_280713699200728	2018-08-31T16:31:33+0000	1054	25	524
96033897836_10158374300472837	2018-08-31T15:50:24+0000	728	24	76
96033897836_218557685677628	2018-08-31T13:00:02+0000	1461	32	638
96033897836_527490444339935	2018-08-30T23:30:00+0000	2128	31	1084
96033897836_1930635360570516	2018-08-30T21:45:15+0000	376	46	84
96033897836_2717283101631301	2018-08-30T18:53:59+0000	3290	175	4293
96033897836_527383184359074	2018-08-30T15:25:00+0000	2161	32	981
96033897836_292912391439133	2018-08-30T12:47:13+0000	1179	23	460
96033897836_2127120650893869	2018-08-29T23:58:56+0000	2426	27	1022
96033897836_272539256803180	2018-08-29T22:08:43+0000	1193	10	411
96033897836_342075853001380	2018-08-29T00:10:02+0000	1546	42	481
96033897836_232667594046788	2018-08-28T15:20:43+0000	814	18	711
96033897836_251982175650434	2018-08-28T13:49:11+0000	1758	20	718
96033897836_505375419933532	2018-08-27T23:30:01+0000	277	10	106
96033897836_1775706855817774	2018-08-27T23:04:37+0000	1061	16	328
96033897836_680733205619928	2018-08-27T14:51:44+0000	1595	85	897
96033897836_10158359175642837	2018-08-26T16:03:07+0000	875	28	136
96033897836_238938136814850	2018-08-26T15:10:05+0000	1274	44	376
96033897836_243094596547415	2018-08-26T13:00:02+0000	1531	13	757
96033897836_10158356599122837	2018-08-25T18:38:28+0000	414	18	59
96033897836_293522121440394	2018-08-25T17:12:12+0000	1204	20	394
96033897836_235583457125660	2018-08-25T13:10:00+0000	1101	19	721
96033897836_232461374110740	2018-08-24T20:04:17+0000	1222	19	505
96033897836_291062405019032	2018-08-24T15:09:11+0000	187	18	44
96033897836_312057296211509	2018-08-24T14:51:24+0000	1659	40	686
96033897836_10158352789122837	2018-08-24T14:14:52+0000	281	18	31
96033897836_724968401184445	2018-08-24T01:20:00+0000	2460	286	584
96033897836_315076075932799	2018-08-23T19:57:39+0000	1148	28	393
96033897836_10158349530577837	2018-08-23T13:51:24+0000	489	22	98
96033897836_2152795654960365	2018-08-23T00:58:21+0000	3722	418	835
96033897836_226490198046799	2018-08-22T21:37:08+0000	714	39	247
96033897836_10158346641727837	2018-08-22T14:45:33+0000	354	27	41
96033897836_1016196688541204	2018-08-22T13:00:01+0000	1212	64	509
96033897836_10158343765887837	2018-08-21T15:06:46+0000	323	90	44
96033897836_10158341858067837	2018-08-20T21:54:28+0000	529	37	59
96033897836_259787174641658	2018-08-19T18:32:47+0000	1457	34	425
96033897836_287778895366441	2018-08-19T15:52:49+0000	2258	45	912
96033897836_1754587611316953	2018-08-19T15:09:14+0000	1329	44	578
96033897836_1121379621346987	2018-08-18T03:39:06+0000	1205	20	479
96033897836_1767165443338510	2018-08-18T03:03:56+0000	1393	91	1767
96033897836_286643165276511	2018-08-18T02:46:36+0000	316	9	160
96033897836_1888613631207059	2018-08-18T02:36:20+0000	344	7	187
96033897836_1197668850372432	2018-08-18T02:24:47+0000	375	14	217
96033897836_481068959028762	2018-08-18T01:51:10+0000	458	6	176
96033897836_328527564358526	2018-08-18T01:30:28+0000	489	10	189
96033897836_1667729190004329	2018-08-18T01:19:31+0000	332	13	152
96033897836_10158332687417837	2018-08-17T20:58:07+0000	1024	9	144
96033897836_10158332685167837	2018-08-17T20:57:10+0000	1745	42	78
96033897836_10158328947982837	2018-08-16T16:06:50+0000	1353	17	231
96033897836_10158328392202837	2018-08-16T12:10:24+0000	1375	23	259
96033897836_10158328389347837	2018-08-16T12:09:22+0000	2332	49	132
96033897836_526113181158457	2018-08-15T22:57:15+0000	1450	92	730
96033897836_665687890484273	2018-08-15T19:57:53+0000	743	26	278
96033897836_1973575062933984	2018-08-14T21:58:10+0000	2167	26	1034
96033897836_238394063399405	2018-08-14T14:22:59+0000	775	34	178
96033897836_438242660013228	2018-08-13T21:57:54+0000	2244	299	1273
96033897836_677224775975521	2018-08-13T20:05:40+0000	989	30	285
96033897836_10158313656017837	2018-08-12T19:30:00+0000	1132	18	350
96033897836_10158313945582837	2018-08-11T22:24:57+0000	1672	34	679
96033897836_10158311388792837	2018-08-11T01:53:13+0000	477	8	129
96033897836_10158310610932837	2018-08-10T22:10:10+0000	3051	182	2325
96033897836_10158309536077837	2018-08-10T15:17:58+0000	4848	98	566
96033897836_10158308266417837	2018-08-10T13:30:00+0000	932	47	274
96033897836_10158308217032837	2018-08-10T05:04:39+0000	1330	19	479
96033897836_10158308190937837	2018-08-10T04:53:43+0000	286	19	56
96033897836_10158308169262837	2018-08-10T04:39:55+0000	1208	18	294
